Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
5,"max(exp(x), log(abs(x + err)))",exp(x),"max(x1, x2)",log(abs(x + err)),nan,0.10000000149011612
5,0 * sinh(x),0,x1 * x2,sinh(x),2.302586555480957,0.10000000149011612
5,"min((1/(1 + exp(-x))), atanh(x))",(1/(1 + exp(-x))),"min(x1, x2)",atanh(x),nan,0.10000000149011612
5,"min(min(x, 0), sinc(x))","min(x, 0)","min(x1, x2)",sinc(x),0.9499377012252808,0.6624000072479248
5,cos(x) / (sqrt(x) + err),cos(x),x1 / (x2 + err),sqrt(x),nan,0.10000000149011612
5,"min(erf(x), sqrt(x))",erf(x),"min(x1, x2)",sqrt(x),0.9664000868797302,0.657800018787384
5,x / (cos(x) + err),x,x1 / (x2 + err),cos(x),nan,0.10000000149011612
5,(-x) + x**2,(-x),x1 + x2,x**2,2.301966905593872,0.10540000349283218
5,(1/(1 + exp(-x))) + sinc(x),(1/(1 + exp(-x))),x1 + x2,sinc(x),nan,0.10000000149011612
5,"max(x, 0) / (cos(x) + err)","max(x, 0)",x1 / (x2 + err),cos(x),nan,0.10000000149011612
5,tanh(x) / (cosh(x) + err),tanh(x),x1 / (x2 + err),cosh(x),1.3241045475006104,0.5482000112533569
5,cosh(x) * x,cosh(x),x1 * x2,x,nan,0.10000000149011612
5,"sinh(x) + max(x, 0)",sinh(x),x1 + x2,"max(x, 0)",nan,0.10000000149011612
5,"max(max(x, 0), abs(x))","max(x, 0)","max(x1, x2)",abs(x),0.8561810255050659,0.6958000063896179
5,"max(sinc(x), (-x))",sinc(x),"max(x1, x2)",(-x),nan,0.10000000149011612
5,log(1 + exp(x)) / (cos(x) + err),log(1 + exp(x)),x1 / (x2 + err),cos(x),nan,0.10000000149011612
5,"max(atanh(x), exp(-x^2))",atanh(x),"max(x1, x2)",exp(-x^2),nan,0.10000000149011612
5,abs(x) / (sinh(x) + err),abs(x),x1 / (x2 + err),sinh(x),nan,0.10000000149011612
5,"(-x) / (min(x, 0) + err)",(-x),x1 / (x2 + err),"min(x, 0)",nan,0.10000000149011612
5,x**3 * erf(x),x**3,x1 * x2,erf(x),2.3028647899627686,0.0982000008225441
5,x**3 + sinh(x),x**3,x1 + x2,sinh(x),nan,0.10000000149011612
5,"max(max(x, 0), erf(x))","max(x, 0)","max(x1, x2)",erf(x),0.8072212934494019,0.7148000001907349
5,"min((-x), erf(x))",(-x),"min(x1, x2)",erf(x),1.1240140199661255,0.6018000245094299
5,(-x) * sqrt(x),(-x),x1 * x2,sqrt(x),1.054335594177246,0.6421999931335449
