Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
5,(-x) + sin(x),(-x),x1 + x2,sin(x),3.2987475395202637,0.23240000009536743
5,"max(x, 0) + sin(x)","max(x, 0)",x1 + x2,sin(x),2.809823751449585,0.3089999854564667
5,"min(asinh(x), sin(x))",asinh(x),"min(x1, x2)",sin(x),2.945330858230591,0.27059999108314514
5,log(1 + exp(x)) * x,log(1 + exp(x)),x1 * x2,x,nan,0.009999999776482582
5,sin(x) - exp(-x^2),sin(x),x1 - x2,exp(-x^2),3.910398006439209,0.10100000351667404
5,"max(sin(x), asinh(x))",sin(x),"max(x1, x2)",asinh(x),2.685195207595825,0.323199987411499
5,"max(x, x)",x,"max(x1, x2)",x,2.9197583198547363,0.30160000920295715
5,sinh(x) + exp(x),sinh(x),x1 + x2,exp(x),nan,0.009999999776482582
5,x**3 * asinh(x),x**3,x1 * x2,asinh(x),1748117.125,0.009999999776482582
5,"sinc(x) * max(x, 0)",sinc(x),x1 * x2,"max(x, 0)",4.2795586585998535,0.049800001084804535
5,"min(x**2, exp(x))",x**2,"min(x1, x2)",exp(x),nan,0.009999999776482582
5,abs(x) + exp(-x^2),abs(x),x1 + x2,exp(-x^2),3.3822250366210938,0.21799999475479126
5,"max(x, 0) - sinc(x)","max(x, 0)",x1 - x2,sinc(x),nan,0.009999999776482582
5,x - sqrt(x),x,x1 - x2,sqrt(x),nan,0.009999999776482582
5,exp(x) + exp(x),exp(x),x1 + x2,exp(x),nan,0.009999999776482582
5,exp(-x^2) / (sqrt(x) + err),exp(-x^2),x1 / (x2 + err),sqrt(x),nan,0.009999999776482582
6,"max(log(1 + exp(x)), sin(x))",log(1 + exp(x)),"max(x1, x2)",sin(x),2.6089823246002197,0.3513999879360199
6,"min(log(1 + exp(x)), max(x, 0))",log(1 + exp(x)),"min(x1, x2)","max(x, 0)",2.59779691696167,0.35280001163482666
6,(1/(1 + exp(-x))) + log(1 + exp(x)),(1/(1 + exp(-x))),x1 + x2,log(1 + exp(x)),2.5941872596740723,0.35760000348091125
6,"(-x) + max(x, 0)",(-x),x1 + x2,"max(x, 0)",2.6344690322875977,0.34200000762939453
